result_id,result_month,winner_id,loser_id,winner_set_1,winner_set_2,winner_set_3,winner_set_4,winner_set_5,loser_set_1,loser_set_2,loser_set_3,loser_set_4,loser_set_5
494,Jan-19,10403,10383,6,6,0,0,0,3,3,0,0,0
495,Feb-19,3503,3623,6,7,0,0,0,3,6,0,0,0
496,Jun-19,734160,65230,7,1,6,0,0,5,6,2,0,0
497,Nov-19,10305,53198,6,6,0,0,0,3,3,0,0,0
499,Feb-19,10789,10785,6,3,6,0,0,4,6,0,0,0
500,Feb-19,844356,223621,6,6,0,0,0,1,3,0,0,0
501,May-19,4021,2536184,7,6,0,0,0,5,3,0,0,0
502,Aug-19,3687,218159,6,7,0,0,0,3,5,0,0,0
503,Aug-19,10403,10751,3,7,7,0,0,6,5,6,0,0
504,Jan-19,3464,3687,7,6,6,0,0,6,7,4,0,0
505,Aug-19,378488,10378,6,6,0,0,0,2,4,0,0,0
506,Aug-19,53374,3608,6,6,0,0,0,2,2,0,0,0
507,Jul-19,157972,94694,6,6,0,0,0,3,1,0,0,0
508,Oct-19,4417,3608,5,6,7,0,0,7,4,6,0,0
509,Nov-19,9696,4954,6,3,7,0,0,1,6,6,0,0
510,Sep-19,11461,42568,6,6,0,0,0,4,4,0,0,0
511,Sep-19,606930,70414,6,3,7,0,0,4,6,5,0,0
513,Jun-19,65230,373773,3,7,6,0,0,6,6,2,0,0
514,Jul-19,67623,60157,6,7,0,0,0,3,6,0,0,0
515,Sep-19,4190,734160,6,6,0,0,0,4,1,0,0,0
517,Sep-19,3499,2005359,7,6,0,0,0,6,4,0,0,0
518,Mar-19,4515,3686,6,6,0,0,0,4,3,0,0,0
519,Aug-19,3569,66480,6,6,6,0,0,2,4,2,0,0
520,Jul-19,2204585,2391589,6,4,6,0,0,4,6,4,0,0
521,Jul-19,60718,27273,6,6,6,0,0,4,7,2,0,0
522,Feb-19,2093432,2466141,6,7,0,0,0,4,5,0,0,0
524,Aug-19,55849,3785,6,6,0,0,0,3,4,0,0,0
525,Jan-19,10383,11095,7,6,0,0,0,6,1,0,0,0
526,Aug-19,81226,196974,6,6,7,0,0,4,4,6,0,0
527,May-19,1863628,373773,7,7,0,0,0,5,6,0,0,0
528,Jul-19,24753,281134,7,6,0,0,0,5,0,0,0,0
530,Feb-19,51547,10344,6,2,6,0,0,4,6,1,0,0
532,Oct-19,200399,3481,6,6,7,0,0,7,4,6,0,0
534,Feb-19,10819,10383,6,4,7,0,0,2,6,5,0,0
537,Jan-19,53374,203816,6,6,6,0,0,1,2,1,0,0
538,Feb-19,55849,4169,6,6,0,0,0,4,3,0,0,0
539,Oct-19,3607,3671,6,4,7,0,0,3,6,5,0,0
540,Jul-19,4128,64700,7,6,0,0,0,5,4,0,0,0
541,Oct-19,51256,3586,6,6,0,0,0,3,4,0,0,0
543,Aug-19,205461,53292,6,6,6,0,0,7,3,1,0,0
544,Oct-19,3839,2596786,7,7,0,0,0,6,5,0,0,0
545,Oct-19,240231,3745,6,6,0,0,0,3,4,0,0,0
546,Jan-19,50083,11558,6,0,6,0,0,4,6,3,0,0
547,Aug-19,45027,10292,6,6,0,0,0,2,1,0,0,0
